date,close,volume,open,high,low,,,,,,,,,,,,,,,,,,,
4/30/2012,83.4257,126321688,85.4,85.4857,83.2857,,,,,,,,,,,,,,,,,,,
5/1/2012,83.1614,152492176,83.5571,85.2514,83.0328,,,,,,,,,,,,,,,,,,,
5/2/2012,83.7114,106750312,82.8914,83.9142,82.6943,,,,,,,,,,,,,,,,,,,
5/3/2012,83.1171,97380669,84.3571,84.4857,82.9,,,,,,,,,,,,,,,,,,,
5/4/2012,80.75,132304520,82.44,82.6228,80.7385,,,,,,,,,,,,,,,,,,,
5/7/2012,81.3543,114959564,80.2143,81.8243,80.1757,,,,,,,,,,,,,,,,,,,
5/8/2012,81.1685,124080357,81.3685,81.6428,79.8185,,,,,,,,,,,,,,,,,,,
5/9/2012,81.3114,120022806,80.5285,81.9968,80.1214,,,,,,,,,,,,,,,,,,,
5/10/2012,81.5028,83026395,82.0828,82.2685,81.2058,,,,,,,,,,,,,,,,,,,
5/11/2012,80.9585,99653570,80.7143,82.0671,80.6214,,,,,,,,,,,,,,,,,,,
5/14/2012,79.7457,87975396,80.3671,81.0728,79.6571,,,,,,,,,,,,,,,,,,,
5/15/2012,79.0243,118859546,80.2071,80.46,78.8214,,,,,,,,,,,,,,,,,,,
5/16/2012,78.0107,139914782,79.15,79.5557,77.2914,,,,,,,,,,,,,,,,,,,
5/17/2012,75.7314,178603164,77.9014,78.2143,75.7314,,,,,,,,,,,,,,,,,,,
5/18/2012,75.7685,182773345,76.28,77.63,74.5971,,,,,,,,,,,,,,,,,,,
5/21/2012,80.1828,157250007,76.3571,80.22,76.2928,,,,,,,,,,,,,,,,,,,
5/22/2012,79.5671,173417772,81.3643,81.9828,78.94,,,,,,,,,,,,,,,,,,,
5/23/2012,81.5085,145594164,79.6428,81.8285,79.0328,,,,,,,,,,,,,,,,,,,
5/24/2012,80.76,123856147,82.2671,82.3571,80.1757,,,,,,,,,,,,,,,,,,,
5/25/2012,80.3271,81958125,80.6557,80.8357,79.7817,,,,,,,,,,,,,,,,,,,
5/29/2012,81.7528,94973228,81.5571,82,80.7585,,,,,,,,,,,,,,,,,,,
5/30/2012,82.7385,132188320,81.3143,82.8557,80.9371,,,,,,,,,,,,,,,,,,,
5/31/2012,82.5328,122817347,82.9628,83.0714,81.6371,,,,,,,,,,,,,,,,,,,
6/1/2012,80.1414,130080689,81.3085,81.8071,80.0743,,,,,,,,,,,,,,,,,,,
6/4/2012,80.6128,138991972,80.2143,81.0714,78.3571,,,,,,,,,,,,,,,,,,,
6/5/2012,80.4043,96944429,80.1814,80.9243,79.7614,,,,,,,,,,,,,,,,,,,
6/6/2012,81.6371,100135800,81.11,81.9785,80.7857,,,,,,,,,,,,,,,,,,,
6/7/2012,81.6743,94916808,82.47,82.4743,81.5,,,,,,,,,,,,,,,,,,,
6/8/2012,82.9028,86587996,81.6571,82.9405,81.2857,,,,,,,,,,,,,,,,,,,
6/11/2012,81.5957,147605824,83.96,84.0714,81.5185,,,,,,,,,,,,,,,,,,,
6/12/2012,82.3085,108784723,82.0657,82.3743,80.9571,,,,,,,,,,,,,,,,,,,
6/13/2012,81.7371,73380042,82.0743,82.64,81.4828,,,,,,,,,,,,,,,,,,,
6/14/2012,81.6471,86325986,81.6057,81.9285,81.0371,,,,,,,,,,,,,,,,,,,
6/15/2012,82.0185,83596545,81.5714,82.0885,81.3643,,,,,,,,,,,,,,,,,,,
6/18/2012,83.6828,109922713,81.5657,83.9843,81.4814,,,,,,,,,,,,,,,,,,,
6/19/2012,83.9157,90239127,83.3428,84.2857,83.3,,,,,,,,,,,,,,,,,,,
6/20/2012,83.6773,89706357,84.03,84.1785,82.9714,,,,,,,,,,,,,,,,,,,
6/21/2012,82.5243,81511944,83.6343,84.0314,82.4914,,,,,,,,,,,,,,,,,,,
6/22/2012,83.1571,70792001,82.72,83.17,82.2028,,,,,,,,,,,,,,,,,,,
6/25/2012,81.5378,75963043,82.4714,82.8285,81.4814,,,,,,,,,,,,,,,,,,,
6/26/2012,81.7178,69124972,81.6185,82.07,81.0471,,,,,,,,,,,,,,,,,,,
6/27/2012,82.0714,50737114,82.1428,82.3914,81.7028,,,,,,,,,,,,,,,,,,,
6/28/2012,81.2928,70572061,81.6671,82,80.8014,,,,,,,,,,,,,,,,,,,
6/29/2012,83.4285,105131912,82.5714,83.4285,82.0357,,,,,,,,,,,,,,,,,,,
7/2/2012,84.6457,99806940,83.5328,84.7814,83.3714,,,,,,,,,,,,,,,,,,,
7/3/2012,85.63,60428183,84.9828,85.7143,84.8571,,,,,,,,,,,,,,,,,,,
7/5/2012,87.1343,120978516,85.7943,87.7628,85.6643,,,,,,,,,,,,,,,,,,,
7/6/2012,86.5543,104693151,86.7271,86.92,85.94,,,,,,,,,,,,,,,,,,,
7/9/2012,87.6985,94701768,86.4714,87.7,86.3014,,,,,,,,,,,,,,,,,,,
7/10/2012,86.8871,127763688,88.2814,88.5528,86.4728,,,,,,,,,,,,,,,,,,,
7/11/2012,86.3471,117068665,86.5885,86.8085,85.3171,,,,,,,,,,,,,,,,,,,
7/12/2012,85.5571,106873442,85.7485,86.21,84.6685,,,,,,,,,,,,,,,,,,,
7/13/2012,86.4243,77827633,86.1357,86.7414,85.7143,,,,,,,,,,,,,,,,,,,
7/16/2012,86.7014,75263813,86.4457,87.3743,86.4314,,,,,,,,,,,,,,,,,,,
